1,2,3
"丁香散（《三因极一病证方论》)丁香柿蒂[MASK]甘草高良姜
","丁香散（《三因极一病证方论》) 丁香 柿蒂 炙甘草 高良姜
",['炙']
"丁香透膈散(《局方》)丁香木香香附砂仁白蔻仁人参白术麦芽[MASK]甘草神曲
","丁香透膈散(《局方》) 丁香 木香 香附 砂仁 白蔻仁 人参 白术 麦芽 炙甘草 神曲
",['炙']
"丁蔻理中汤([MASK])党参白术[MASK]甘草干姜丁香白蔻仁
","丁蔻理中汤(验方) 党参 白术 炙甘草 干姜 丁香 白蔻仁
","['验方', '炙']"
"七福[MASK]（《景岳全书》)人参熟地当归白术枣仁远志[MASK]甘草
","七福饮（《景岳全书》) 人参 熟地 当归 白术 枣仁 远志 炙甘草 
","['饮', '炙']"
"二陈汤(《太平惠民和剂局方》)法半夏橘红白茯苓[MASK]甘草
","二陈汤(《太平惠民和剂局方》) 法半夏 橘红 白茯苓 炙甘草
",['炙']
"人参归脾汤（《校注妇人良方》)人参[MASK]黄芪[MASK]白术茯苓当归龙眼肉远志[MASK]枣仁木香[MASK]甘草
","人参归脾汤（《校注妇人良方》) 人参 炒黄芪 炒白术 茯苓 当归 龙眼肉 远志 炒枣仁 木香 炙甘草
","['炒', '炒', '炒', '炙']"
"人参泻[MASK]汤(《医宗金鉴》)栀子连翘薄荷黄芩大黄甘草枳壳桔梗杏仁人参桑白皮
","人参泻肺汤(《医宗金鉴》) 栀子 连翘 薄荷 黄芩 大黄 甘草 枳壳 桔梗 杏仁 人参 桑白皮
",['肺']
"人参养荣汤（《太平惠民和剂局方》)白芍当归陈皮黄芪桂心人参[MASK]白术[MASK]甘草熟地黄五味子茯苓远志生姜大枣
","人参养荣汤（《太平惠民和剂局方》) 白芍 当归 陈皮 黄芪 桂心 人参 煨白术 炙甘草 熟地黄 五味子 茯苓 远志 生姜 大枣
","['煨', '炙']"
"人参健脾丸（《北京市[MASK]成方选集》）人参[MASK]远志砂仁木香茯苓酸枣仁当归橘皮黄芪山药白术
","人参健脾丸（《北京市中药成方选集》） 人参 炙远志 砂仁 木香 茯苓 酸枣仁 当归 橘皮 黄芪 山药 白术
","['中药', '炙']"
"八味消风散（[MASK]）(《许履和外科医案医话集》)引(《中医皮肤病学简编》)生地连翘红花桃仁白藓皮地肤子僵蚕蝉蜕
","八味消风散（饮）(《许履和外科医案医话集》)引(《中医皮肤病学简编》) 生地 连翘 红花 桃仁 白藓皮 地肤子 僵蚕 蝉蜕
",['饮']
"八味檀香散(《中国基本[MASK]》)檀香石膏红花甘草丁香北沙参拳参白葡萄干
","八味檀香散(《中国基本中成药》) 檀香 石膏 红花 甘草 丁香 北沙参 拳参 白葡萄干
",['中成药']
"十全大补丸(《太平惠民和剂局方》)熟地黄白芍当归川芎人参白术茯苓[MASK]甘草黄芪肉桂
","十全大补丸(《太平惠民和剂局方》) 熟地黄 白芍 当归 川芎 人参 白术 茯苓 炙甘草 黄芪 肉桂
",['炙']
"十味温胆汤（《证治准绳》)半夏竹茹枳实陈皮[MASK]甘草白茯苓[MASK]酸枣仁远志五味子熟地黄人参生姜大枣
","十味温胆汤（《证治准绳》) 半夏 竹茹 枳实 陈皮 炙甘草 白茯苓 炒酸枣仁 远志 五味子 熟地黄 人参 生姜 大枣
","['炙', '炒']"
"[MASK]封髓丹(《卫生宝鉴》)天冬地黄人参黄柏砂仁甘草
","三才封髓丹(《卫生宝鉴》) 天冬 地黄 人参 黄柏 砂仁 甘草
",['三才']
"三生[MASK](《太平惠民和剂局方》)生天南星生川乌生附子木香生姜
","三生饮(《太平惠民和剂局方》) 生天南星 生川乌 生附子 木香 生姜
",['饮']
"三阴煎(《景岳全书》)当归熟地[MASK]甘草芍药枣仁人参
","三阴煎(《景岳全书》) 当归 熟地 炙甘草 芍药 枣仁 人参
",['炙']
"三柴胡[MASK](《景岳全书》)柴胡芍药[MASK]甘草陈皮生姜当归
","三柴胡饮(《景岳全书》) 柴胡 芍药 炙甘草 陈皮 生姜 当归
","['饮', '炙']"
"大分清[MASK]（《景岳全书》)茯苓泽泻木通猪苓车前子栀子枳壳
","大分清饮（《景岳全书》) 茯苓 泽泻 木通 猪苓 车前子 栀子 枳壳
",['饮']
"大补元煎(《景岳全书》)人参山药熟地杜仲枸杞子当归山茱萸[MASK]甘草
","大补元煎(《景岳全书》) 人参 山药 熟地 杜仲 枸杞子 当归 山茱萸 炙甘草
",['炙']
"大补黄芪汤(《增补内经拾遗》)黄芪（蜜[MASK]）防风人参当归川芎白术山茱萸熟地黄茯苓[MASK]甘草五味子[MASK]肉桂肉苁蓉
","大补黄芪汤(《增补内经拾遗》) 黄芪（蜜炙） 防风 人参 当归 川芎 白术 山茱萸 熟地黄 茯苓 炙甘草 五味子 炒肉桂 肉苁蓉
","['炙', '炙', '炒']"
"大和中[MASK](《景岳全书》)陈皮枳实砂仁山楂麦芽厚朴泽泻
","大和中饮(《景岳全书》) 陈皮 枳实 砂仁 山楂 麦芽 厚朴 泽泻
",['饮']
"大定风珠(《温病条辨》)白芍阿胶生龟版生地火麻仁五味子生牡蛎麦冬[MASK]甘草鸡子黄生鳖甲
","大定风珠(《温病条辨》) 白芍 阿胶 生龟版 生地 火麻仁 五味子 生牡蛎 麦冬 炙甘草 鸡子黄 生鳖甲
",['炙']
"大青龙汤(《伤寒论》)麻黄桂枝[MASK]甘草杏仁石膏生姜大枣
","大青龙汤(《伤寒论》) 麻黄 桂枝 炙甘草 杏仁 石膏 生姜 大枣
",['炙']
